specification,realizability_status,num_inputs,num_outputs,implementation_latches,implementation_and_gates,implementation_size,result_verification,time_verification
prioritized_arbiter_unreal1_3_4,unrealizable,4,4,0,0,0,SUCCESS,.14
prioritized_arbiter_unreal1_3_6,unrealizable,4,4,0,0,0,SUCCESS,.18
prioritized_arbiter_unreal1_3_8,unrealizable,4,4,0,0,0,SUCCESS,.23
prioritized_arbiter_unreal2_2,unrealizable,3,3,0,0,0,SUCCESS,.11
prioritized_arbiter_unreal2_3,unrealizable,4,4,0,0,0,SUCCESS,.13
prioritized_arbiter_unreal2_4,unrealizable,5,5,0,0,0,SUCCESS,.15
prioritized_arbiter_unreal2_5,unrealizable,6,6,0,0,0,SUCCESS,.20
round_robin_arbiter_unreal1_2_12,unrealizable,2,2,2,0,2,SUCCESS,2.57
round_robin_arbiter_unreal1_2_15,unrealizable,2,2,2,0,2,SUCCESS,9.65
round_robin_arbiter_unreal1_2_18,unrealizable,2,2,2,0,2,SUCCESS,76.35
round_robin_arbiter_unreal1_2_3,unrealizable,2,2,2,0,2,SUCCESS,.16
round_robin_arbiter_unreal1_2_6,unrealizable,2,2,2,0,2,SUCCESS,.28
round_robin_arbiter_unreal1_2_9,unrealizable,2,2,2,0,2,SUCCESS,.65
round_robin_arbiter_unreal2_2,unrealizable,2,2,2,0,2,SUCCESS,.15
round_robin_arbiter_unreal2_3,unrealizable,3,3,2,0,2,SUCCESS,.18
round_robin_arbiter_unreal2_4,unrealizable,4,4,2,0,2,SUCCESS,.21
round_robin_arbiter_unreal2_5,unrealizable,5,5,2,0,2,SUCCESS,.26
simple_arbiter_unreal1_4_1,unrealizable,4,4,0,0,0,SUCCESS,.11
simple_arbiter_unreal1_4_2,unrealizable,4,4,0,0,0,SUCCESS,.13
simple_arbiter_unreal1_4_3,unrealizable,4,4,0,0,0,SUCCESS,.15
simple_arbiter_unreal1_4_4,unrealizable,4,4,0,0,0,SUCCESS,.15
simple_arbiter_unreal1_4_5,unrealizable,4,4,0,0,0,SUCCESS,.18
simple_arbiter_unreal1_4_6,unrealizable,4,4,0,0,0,SUCCESS,.23
simple_arbiter_unreal2_2,unrealizable,2,2,0,0,0,SUCCESS,.10
simple_arbiter_unreal2_3,unrealizable,3,3,0,0,0,SUCCESS,.11
simple_arbiter_unreal2_4,unrealizable,4,4,0,0,0,SUCCESS,.14
simple_arbiter_unreal2_5,unrealizable,5,5,0,0,0,SUCCESS,.18
simple_arbiter_unreal2_6,unrealizable,6,6,0,0,0,SUCCESS,.22
TwoCounters2,unrealizable,11,8,1,0,1,SUCCESS,.10
TwoCounters5,unrealizable,19,13,0,0,0,SUCCESS,.20
TwoCountersDisButA0,unrealizable,11,13,0,0,0,SUCCESS,.12
TwoCountersDisButA1,unrealizable,11,13,0,0,0,SUCCESS,.13
TwoCountersDisButA2,unrealizable,11,13,0,0,0,SUCCESS,.13
TwoCountersDisButA3,unrealizable,11,13,0,0,0,SUCCESS,.14
TwoCountersDisButA4,unrealizable,12,13,0,0,0,SUCCESS,.16
TwoCountersDisButA5,unrealizable,12,13,0,0,0,SUCCESS,.15
TwoCountersDisButA6,unrealizable,13,13,0,0,0,SUCCESS,.16
TwoCountersDisButA7,unrealizable,13,13,0,0,0,SUCCESS,.16
TwoCountersDisButA8,unrealizable,14,13,0,0,0,SUCCESS,.17
TwoCountersDisButA9,unrealizable,14,13,0,0,0,SUCCESS,.17
TwoCountersDisButAC,unrealizable,15,13,0,0,0,SUCCESS,.18
TwoCountersGui,unrealizable,19,14,1,0,1,SUCCESS,.12
TwoCountersInRangeA0,unrealizable,11,8,1,0,1,SUCCESS,.09
TwoCountersInRangeA1,unrealizable,11,8,1,0,1,SUCCESS,.09
TwoCountersInRangeA2,unrealizable,11,8,1,0,1,SUCCESS,.10
TwoCountersInRangeA3,unrealizable,11,8,1,0,1,SUCCESS,.10
TwoCountersInRangeA4,unrealizable,11,8,1,0,1,SUCCESS,.10
TwoCountersInRangeA5,unrealizable,11,8,1,0,1,SUCCESS,.12
TwoCountersInRangeM0,unrealizable,11,8,1,0,1,SUCCESS,.11
TwoCountersInRangeM1,unrealizable,11,8,1,0,1,SUCCESS,.10
TwoCountersInRangeM2,unrealizable,11,8,1,0,1,SUCCESS,.11
TwoCountersInRangeM3,unrealizable,11,8,1,0,1,SUCCESS,.12
TwoCountersInRangeM4,unrealizable,11,8,1,1,2,SUCCESS,.11
TwoCountersInRangeM5,unrealizable,11,8,1,0,1,SUCCESS,.12
TwoCountersInRange,unrealizable,11,8,1,0,1,SUCCESS,.09
TwoCountersRefined,unrealizable,6,8,1,1,2,SUCCESS,.11
TwoCounters,unrealizable,6,8,1,0,1,SUCCESS,.10
UnderapproxDemo2,unrealizable,2,2,0,0,0,SUCCESS,.08
UnderapproxDemo,unrealizable,1,0,1,0,1,SUCCESS,.07
